0,,,,,,,,1572520389.2244134
1,,,,,,,,1572520389.224421
2,,,,,,,,1572520389.2244263
3,,,,,,,,1572520389.2266092
4,,,,,,,,1572520389.2266166
5,,,,,,,,1572520389.2266219
6,,,,,,,,1572520389.2284024
7,,,,,,,,1572520389.2284093
8,,,,,,,,1572520389.2284145
9,,,,,,,,1572520389.2303138
10,,,,,,,,1572520389.2303207
11,,,,,,,,1572520389.2303257
12,,,,,,,,1572520389.2323866
13,,,,,,,,1572520389.2323954
14,,,,,,,,1572520389.232401
15,,,,,,,,1572520389.234957
16,,,,,,,,1572520389.2349656
17,,,,,,,,1572520389.2349708
18,,,,,,,,1572520389.2368927
19,,,,,,,,1572520389.2369015
20,,,,,,,,1572520389.2369068
21,,,,,,,,1572520389.238607
22,,,,,,,,1572520389.2386138
23,,,,,,,,1572520389.2386189
24,,,,,,,,1572520389.2405596
25,,,,,,,,1572520389.2405696
26,,,,,,,,1572520389.240578
27,,,,,,,,1572520389.2423742
28,,,,,,,,1572520389.242381
29,,,,,,,,1572520389.242386
30,,,,,,,,1572520389.244073
31,,,,,,,,1572520389.2440798
32,,,,,,,,1572520389.244085
33,,,,,,,,1572520389.245873
34,,,,,,,,1572520389.2458813
35,,,,,,,,1572520389.2458866
36,,,,,,,,1572520389.2479131
37,,,,,,,,1572520389.2479217
38,,,,,,,,1572520389.2479272
39,,,,,,,,1572520389.2504995
40,,,,,,,,1572520389.250509
41,,,,,,,,1572520389.2505143
42,,,,,,,,1572520389.2530627
43,,,,,,,,1572520389.253072
44,,,,,,,,1572520389.2530775
45,,,,,,,,1572520389.2552068
46,,,,,,,,1572520389.2552152
47,,,,,,,,1572520389.2552207
48,,,,,,,,1572520389.2570035
49,,,,,,,,1572520389.2570102
50,,,,,,,,1572520389.2570152
51,,,,,,,,1572520389.259136
52,,,,,,,,1572520389.259145
53,,,,,,,,1572520389.2591505
54,,,,,,,,1572520389.2612867
55,,,,,,,,1572520389.2612963
56,,,,,,,,1572520389.2613018
57,,,,,,,,1572520389.2632067
58,,,,,,,,1572520389.2632155
59,,,,,,,,1572520389.2632215
60,,,,,,,,1572520389.2655494
61,,,,,,,,1572520389.2655618
62,,,,,,,,1572520389.2655678
63,,,,,,,,1572520389.2676802
64,,,,,,,,1572520389.2676885
